Key;ENU;DES
Addon Translation;Addon Translation;Zusatz Bezeichnungen
Code;Code;Code
Description;Description;Bezeichnung
Sprache;Sprache;Sprache
Kartei;Kartei;Kartei
Best,Farb,Foli,Verp,Vers;Best,Farb,Foli,Verp,Vers;Best,Farb,Foli,Verp,Vers
Anveo Transfer;Anveo Transfer;Anveo Transfer
Anveo UserID;Anveo UserID;Anveo Benutzer ID
Bin Code;Bin Code;Lagerplatzcode
Device ID;Device ID;Geräte ID
Entry Date;Entry Date;Eintrag Datum
Entry DateTime;Entry DateTime;Eintrag Datum/Zeit
Entry No.;Entry No.;Laufnr.
Entry Time;Entry Time;Eintrag Zeit
Entry Type;Entry Type;Postenart
Purchase,Sale,Positive Adjmt.,Negative Adjmt.,Transfer,Consumption,Output,,Assembly Consumption,Assembly Output,Requisition;Purchase,Sale,Positive Adjmt.,Negative Adjmt.,Transfer,Consumption,Output,,Assembly Consumption,Assembly Output,Requisition;Einkauf,Verkauf,Zugang,Abgang,Umlagerung,Verbrauch,Istmeldung,,Verbrauch für Montage,Montage-Istmeldung,Bestellvorschlag
Entry UserID;Entry UserID;Eintrag Benutzer ID
Gen. Prod. Posting Group;Gen. Prod. Posting Group;Produktbuchungsgruppe
Inventory Posting Group;Inventory Posting Group;Lagerbuchungsgruppe
Item No.;Item No.;Artikel Nr.
Last Try Date;Last Try Date;Letzter Versuch Datum
Last Try DateTime;Last Try DateTime;Letzter Versuch Datum/Zeit
Last Try Time;Last Try Time;Letzter Versuch Zeit
Last Try UserID;Last Try UserID;Letzter Versuch Benutzer ID
Location Code;Location Code;Lagerortcode
Lot No.;Lot No.;Chargen Nr.
New Bin Code;New Bin Code;Neuer Lagerplatzcode
New Location Code;New Location Code;Neuer Lagerortcode
Posting Date;Posting Date;Buchungsdatum
Processing Date;Processing Date;Verarbeitung Datum
Processing DateTime;Processing DateTime;Verarbeitung Datum/Zeit
Processing Time;Processing Time;Verarbeitung Zeit
Processing UserID;Processing UserID;Verarbeitung Benutzer ID
Production Order No.;Production Order No.;Fertigungsauftrags Nr.
Quantity;Quantity;Menge
Record Date;Record Date;Erfassung Datum
Record DateTime;Record DateTime;Erfassung Datum/Zeit
Record Time;Record Time;Erfassung Zeit
Record UserID;Record UserID;Erfassung Benutzer ID
Release Date;Release Date;Freigabe Datum
Release DateTime;Release DateTime;Freigabe Datum/Zeit
Release Time;Release Time;Freigabe Zeit
Release UserID;Release UserID;Freigabe Benutzer ID
Status;Status;Status
,Processed,Error;,Processed,Error;,Verarbeitet,Fehler
Unit of Measure Code;Unit of Measure Code;Einheitencode
Attachment Template;Attachment Template;Dateianhang Vorlage
"""Excel Template"" not exist";"""Excel Template"" not exist";"Es existiert keine ""Excel Vorlage"""
You have canceled the create process.;You have canceled the create process.;Sie haben den Erstellungsprozess abgebrochen.
Replace existing attachment?;Replace existing attachment?;Möchten Sie den vorhandenen Dateianhang ersetzen?
You have canceled the import process.;You have canceled the import process.;Sie haben den Importvorgang abgebrochen.
Attachment No.;Attachment No.;Dateianhang Nr.
AttachTmpl_FL;AttachTmpl_FL;AttachTmpl_FL
 ,Open,Create,Coyp,Import,Export,Remove,,,,Delete,Use; ,Open,Create,Coyp,Import,Export,Remove,,,,Delete,Use; ,Öffnen,Erstellen,Kopieren,Importieren,Exportieren,Entfernen,,,,Delete,Verwenden
Language Code;Language Code;Sprache
Interaction Template Code;Interaction Template Code;Dateianhang Vorlage
BarcodeBuffer;BarcodeBuffer;Barcode Puffer
CharA;CharA;Zeichen A
CharB;CharB;Zeichen B
CharC;CharC;Zeichen C
Encoding;Encoding;Kodierung
Value;Value;Wert
Bundle;Bundle;Gebinde
"Der ""%1"" existiert nicht.";"Der ""%1"" existiert nicht.";"Der ""%1"" existiert nicht."
Basis Menge;Basis Menge;Basis Menge
Base Unit of Measure;Base Unit of Measure;Basis Einheit
Nr.;Nr.;Nr.
CheckExist;CheckExist;Prüfen ob vorhanden
Sales Location;Sales Location;Fremdfertigung (Vorlage)
Buffer Location;Buffer Location;Verbrauch ab Lager (Vorlage)
Storage Bin;Storage Bin;Akt. Lagerplatz
Akt. Lagerort;Akt. Lagerort;Akt. Lagerort
Customerlable;Customerlable;Kunden Etikette
Customer No.;Customer No.;Kunden Nr.
Date;Date;Datum
Purchase,Sale,Positive Adjmt.,Negative Adjmt.,Transfer,Consumption,Output;Purchase,Sale,Positive Adjmt.,Negative Adjmt.,Transfer,Consumption,Output;Einkauf,Verkauf,Zugang,Abgang,Umlagerung,Verbrauch,Istmeldung
Finishing;Finishing;Beenden
